unicode	char	fanti	jianti	group	level	is_radical	ids	pinyin	radical	strokes	stroke_seq	freq	basic
U+9F99	龙	龍	龙	A1a	一级	★	⿻尤丿	lóng	龙（龍）	5	13534	2261498	1
U+5E73	平	平	平	A1a	一级		⿻丅䒑	píng	广	5	14312	9523443	1
U+706D	灭	滅	灭	A1a	一级		⿱一火	miè	火（灬）	5	14334	289599	1
U+4E1C	东	東	东	A1a	一级		⿻⿻一𠃋小	dōng	一	5	15234	7861748	1
U+5361	卡	卡	卡	A1a	一级		⿱上卜	kǎ / qiǎ	卜（⺊）	5	21124	2628784	1
U+5317	北	北	北	A1a	一级		⿲二丨匕	běi	匕	5	21135	7679453	1
U+5360	占	佔	占	A1a	一级		⿱⺊口	zhān / zhàn	卜（⺊）	5	21251	2004339	1
U+5362	卢	盧	卢	A1a	一级		⿱⺊尸	lú	卜（⺊）	5	21513	363347	0
U+4E1A	业	業	业	A1a	一级	★	⿱丱一	yè	一	5	22431	23687666	1
U+65E7	旧	舊	旧	A1a	一级		⿰丨日	jiù	日	5	22511	890932	1
U+5E05	帅	帥	帅	A1a	一级		⿰⿰丨丿巾	shuài	巾	5	23252	599373	0
U+5F52	归	歸	归	A1a	一级		⿰⿰丨丿彐	guī	彐（⺕彑）	5	23511	973435	1
U+65E6	旦	旦	旦	A1a	一级		⿱日一	dàn	日	5	25111	606368	1
U+76EE	目	目	目	A1a	一级	★	⿴囗二	mù	目	5	25111	10699845	1
U+4E14	且	且	且	A1a	一级		⿴𠀃二	jū / qiě	一	5	25111	2518482	1
U+53F6	叶	葉	叶	A1a	一级		⿰口十	xié / yè	口	5	25112	665779	1
U+7532	甲	甲	甲	A1a	一级		⿻日丨	jiǎ	田	5	25112	676669	1
U+7533	申	申	申	A1a	一级		⿻丨日	shēn	田	5	25112	1869426	1
U+53EE	叮	叮	叮	A1a	一级		⿰口丁	dīng	口	5	25112	54166	0
U+7535	电	電	电	A1a	一级		⿻乚日	diàn	曰	5	25115	10552631	1
U+53F7	号	號	号	A1a	一级		⿱口丂	háo / hào	口	5	25115	4412442	1
U+7530	田	田	田	A1a	一级	★	⿴囗十	tián	田	5	25121	1296799	1
U+7531	由	由	由	A1a	一级		⿻日丨	yóu	田	5	25121	5914094	1
U+53EA	只	只	只	A1a	一级		⿱口八	zhī / zhǐ	口	5	25134	6226972	1
U+53ED	叭	叭	叭	A1a	一级		⿰口八	bā	口	5	25134	32755	0
U+53F2	史	史	史	A1a	一级		⿻⿻口丿乀	shǐ	口	5	25134	2385795	1
U+592E	央	央	央	A1a	一级		⿻内一	yāng	大	5	25134	2569839	1
U+5144	兄	兄	兄	A1a	一级		⿱口儿	xiōng	儿	5	25135	313118	1
U+53EB	叫	叫	叫	A1a	一级		⿰口丩	jiào	口	5	25152	981361	1
U+53E6	另	另	另	A1a	一级		⿱口力	lìng	口	5	25153	2171785	1
U+53F9	叹	嘆	叹	A1a	一级		⿰口又	tàn	口	5	25154	220354	1
U+51F9	凹	凹	凹	A1a	一级		凹	āo	凵	5	25251	32365	0
U+56DB	四	四	四	A1a	一级	★	⿴囗儿	sì	囗	5	25351	4481280	1
U+751F	生	生	生	A1a	一级	★	⿰㇒龶	shēng	生	5	31121	22082862	1
U+5931	失	失	失	A1a	一级		⿰㇒夫	shī	大	5	31134	2801417	1
U+4E18	丘	丘	丘	A1a	一级		⿱㇒⿺丄丅	qiū	一	5	32121	119826	0
U+4ED8	付	付	付	A1a	一级		⿰亻寸	fù	人（亻）	5	32124	1647037	1
U+4ED7	仗	仗	仗	A1a	一级		⿰亻丈	zhàng	人（亻）	5	32134	104964	0
U+4EE3	代	代	代	A1a	一级		⿰亻弋	dài	人（亻）	5	32154	6696134	1
U+4ED9	仙	仙	仙	A1a	一级		⿰亻山	xiān	人（亻）	5	32252	204311	1
U+4EEC	们	們	们	A1a	一级		⿰亻门	mén / men	人（亻）	5	32425	17449037	1
U+4EEA	仪	儀	仪	A1a	一级		⿰亻义	yí	人（亻）	5	32434	648786	1
U+767D	白	白	白	A1a	一级	★	⿱㇒日	bái	白	5	32511	2698984	1
U+4ED4	仔	仔	仔	A1a	一级		⿰亻子	zǎi / zī / zǐ	人（亻）	5	32521	264331	0
U+4ED6	他	他	他	A1a	一级		⿰亻也	tā	人（亻）	5	32525	19252667	1
U+65A5	斥	斥	斥	A1a	一级		⿻斤丶	chì	斤	5	33124	131328	0
U+74DC	瓜	瓜	瓜	A1a	一级	★	⿸𠂆⿰厶丶	guā	瓜	5	33544	299245	0
U+4E4E	乎	乎	乎	A1a	一级		⿱丿⿻亅䒑	hū	丿	5	34312	1349018	1
U+4E1B	丛	叢	丛	A1a	一级		⿱从一	cóng	一	5	34341	104077	0
U+4EE4	令	令	令	A1a	一级		⿱亼卩	lǐng / lìng	人（亻）	5	34454	1571820	1
U+7528	用	用	用	A1a	一级	★	⿵冂⿻二丨	yòng	用	5	35112	14572903	1
U+7529	甩	甩	甩	A1a	一级		⿵冂⿻二乚	shuǎi	用	5	35115	75324	0
U+5370	印	印	印	A1a	一级		⿰𠀉卩	yìn	卩（㔾）	5	35152	1457512	1
U+5C14	尔	爾	尔	A1a	一级		⿻亇八	ěr	小	5	35234	4662330	1
U+4E50	乐	樂	乐	A1a	一级		⿱𠂆朩	lè / yuè	丿	5	35234	4243729	1
U+53E5	句	句	句	A1a	一级		⿹勹口	gōu / jù	口	5	35251	636291	1
U+5306	匆	匆	匆	A1a	一级		⿻勿丶	cōng	勹	5	35334	123115	1
U+518C	册	冊	册	A1a	一级		⿻⿰冂冂一	cè	冂	5	35351	594246	0
U+72AF	犯	犯	犯	A1a	一级		⿰犭㔾	fàn	犬（犭）	5	35355	1381110	1
U+5916	外	外	外	A1a	一级		⿰夕卜	wài	夕	5	35424	10343642	1
U+5904	处	處	处	A1a	一级		⿺夂人	chǔ / chù	夂（夊）	5	35424	5752780	1
U+51AC	冬	冬	冬	A1a	一级		⿱夂冫	dōng	夂（夊）	5	35444	721243	1
U+9E1F	鸟	鳥	鸟	A1a	一级	★	⿴乌丶	niǎo	鸟（鳥）	5	35451	326449	1
U+52A1	务	務	务	A1a	一级		⿱夂力	wù	夂（夊）	5	35453	10519661	1
U+5305	包	包	包	A1a	一级		⿹勹己	bāo	勹	5	35515	3645896	1
U+9965	饥	飢	饥	A1a	一级		⿰饣几	jī	食（飠饣）	5	35535	49750	0
U+4E3B	主	主	主	A1a	一级		⿱丶王	zhǔ	丶	5	41121	13925770	1
U+5E02	市	市	市	A1a	一级		⿱丶帀	shì	巾	5	41252	23508911	1
U+7ACB	立	立	立	A1a	一级	★	⿱亠䒑	lì	立	5	41431	5716110	1
U+51AF	冯	馮	冯	A1a	一级		⿰冫马	féng	马（馬）	5	41551	378490	0
U+7384	玄	玄	玄	A1a	一级	★	⿱亠幺	xuán	玄	5	41554	71922	0
U+95EA	闪	閃	闪	A1a	一级		⿵门人	shǎn	门（門）	5	42534	242854	1
U+5170	兰	蘭	兰	A1a	一级		⿱䒑二	lán	丷	5	43111	1989539	1
U+534A	半	半	半	A1a	一级		⿻小二	bàn	十	5	43112	2902676	1
U+6C41	汁	汁	汁	A1a	一级		⿰氵十	zhī	水（氵氺）	5	44112	109589	0
U+6C47	汇	匯	汇	A1a	一级		⿰氵匚	huì	水（氵氺）	5	44115	1170605	0
U+5934	头	頭	头	A1a	一级		⿻⺀大	tóu	大	5	44134	4680990	1
U+6C49	汉	漢	汉	A1a	一级		⿰氵又	hàn	水（氵氺）	5	44154	1437815	1
U+5B81	宁	寧	宁	A1a	一级		⿱㝉亅	níng / nìng	宀	5	44512	1648980	1
U+7A74	穴	穴	穴	A1a	一级	★	⿱丶㓁	xué	穴	5	44534	63502	0
U+5B83	它	它	它	A1a	一级		⿱宀匕	tā	宀	5	44535	2380011	1
U+8BA8	讨	討	讨	A1a	一级		⿰讠寸	tǎo	言（訁讠）	5	45124	861279	1
U+5199	写	寫	写	A1a	一级		⿱冖与	xiě	冖	5	45151	1656131	1
U+8BA9	让	讓	让	A1a	一级		⿰讠上	ràng	言（訁讠）	5	45211	6041307	1
U+793C	礼	禮	礼	A1a	一级		⿰示乚	lǐ	示（礻⺬）	5	45245	1052682	1
U+8BAD	训	訓	训	A1a	一级		⿰讠川	xùn	言（訁讠）	5	45322	1728847	1
