unicode	char	group	level	ids	strokes	pinyin	stroke_seq	radical	freq	basic
U+5343	千	0	一级	⿱丿十	3	qiān	312	十	794964	1
U+4E5E	乞	0	一级	⿱𠂉乙	3	qǐ	315	乙	51739	0
U+5DDD	川	0	一级	川	3	chuān	322	川	193133	1
U+4EBF	亿	0	一级	⿰亻乙	3	yì	325	亻	84365	0
U+4E2A	个	0	一级	⿱人丨	3	gè	342	丨	14789406	1
U+5915	夕	0	一级	⿴𠂊丶	3	xī	354	夕	81778	0
U+4E45	久	0	一级	久	3	jiǔ	354	丿	737479	1
U+4E48	么	0	一级	⿱丿厶	3	me	354	丿	9727134	1
U+52FA	勺	0	一级	⿹勹丶	3	sháo	354	勹	21195	0
U+51E1	凡	0	一级	⿵几丶	3	fán	354	几	320342	1
U+4E38	丸	0	一级	⿻九丶	3	wán	354	丶	40281	0
U+53CA	及	0	一级	及	3	jí	354	又	839825	1
U+5E7F	广	0	一级	广	3	guǎng	413	广	374959	1
U+4EA1	亡	0	一级	⿱亠𠃊	3	wáng	415	亠	286000	1
U+95E8	门	0	一级	门	3	mén	425	门	2233462	1
U+4E2B	丫	0	一级	⿱丷丨	3	yā	432	丨	183167	0
U+4E49	义	0	一级	⿶乂丶	3	yì	434	丿	667264	1
U+4E4B	之	0	一级	⿱丶②	3	zhī	454	丿	5373763	1
U+5C38	尸	0	一级	尸	3	shī	513	尸	233817	0
U+5DF1	己	0	一级	己	3	jǐ	515	己	4569251	1
U+5DF2	已	0	一级	已	3	yǐ	515	己	3720796	1
U+5DF3	巳	0	一级	巳	3	sì	515	巳	5048	0
U+5F13	弓	0	一级	弓	3	gōng	515	弓	120521	0
U+5B50	子	0	一级	子	3	zǐ	521	子	8641973	1
U+536B	卫	0	一级	⿱⿱𠃌丨一	3	wèi	521	乛	504141	1
U+4E5F	也	0	一级	也	3	yě	525	乚	9508702	1
U+5973	女	0	一级	女	3	nǚ	531	女	3362646	1
U+5203	刃	0	一级	⿹刀丿	3	rèn	534	刀	84243	0
U+98DE	飞	0	一级	飞	3	fēi	534	飞	1593771	1
U+4E60	习	0	一级	⿹𠃌冫	3	xí	541	冫	487160	1
U+53C9	叉	0	一级	⿴又丶	3	chā	544	又	54152	0
U+9A6C	马	0	一级	⿹②一	3	mǎ	551	马	1729443	1
U+4E61	乡	0	一级	乡	3	xiāng	553	幺	228067	1
U+4E30	丰	0	一级	⿻三丨	4	fēng	1112	丨	169048	1
U+738B	王	0	一级	⿱一土	4	wáng	1121	王	1891711	1
U+5F00	开	0	一级	⿱一廾	4	kāi	1132	廾	4346834	1
U+4E95	井	0	一级	井	4	jǐng	1132	二	98246	1
U+5929	天	0	一级	⿱一大	4	tiān	1134	大	6797499	1
U+592B	夫	0	一级	⿻二人	4	fū	1134	大	890506	1
U+5143	元	0	一级	⿱一兀	4	yuán	1135	儿	732265	1
U+65E0	无	0	一级	⿱一尢	4	wú	1135	无	4177289	1
U+4E91	云	0	一级	⿱二厶	4	yún	1154	二	1205872	1
U+4E13	专	0	一级	专	4	zhuān	1154	一	360222	1
U+4E10	丐	0	一级	丐	4	gài	1215	一	45707	0
U+624E	扎	0	一级	⿰扌乚	4	zhā	1215	扌	204372	1
U+827A	艺	0	一级	⿱艹乙	4	yì	1225	艹	226121	1
U+6728	木	0	一级	木	4	mù	1234	木	547209	1
U+4E94	五	0	一级	⿱一𫝀	4	wǔ	1251	二	1170398	1
U+652F	支	0	一级	⿱十又	4	zhī	1254	支	532396	1
U+5385	厅	0	一级	⿸厂丁	4	tīng	1312	厂	297396	1
U+4E0D	不	0	一级	⿱一③	4	bù	1324	一	29858097	1
U+72AC	犬	0	一级	犬	4	quǎn	1344	犬	40178	0
U+592A	太	0	一级	⿵大丶	4	tài	1344	大	1962845	1
U+533A	区	0	一级	⿷匚㐅	4	qū	1345	匸	485061	1
U+5386	历	0	一级	⿸厂力	4	lì	1353	厂	492045	1
U+6B79	歹	0	一级	⿱一夕	4	dǎi	1354	歹	42757	0
U+53CB	友	0	一级	⿸𠂇又	4	yǒu	1354	又	869919	1
U+5C24	尤	0	一级	⿺尢丶	4	yóu	1354	尢	229183	1
U+5339	匹	0	一级	⿷匚儿	4	pǐ	1355	匸	97644	1
U+8F66	车	0	一级	车	4	chē	1512	车	1338066	1
U+5DE8	巨	0	一级	巨	4	jù	1515	匚	453729	1
U+7259	牙	0	一级	牙	4	yá	1523	牙	300629	1
U+5C6F	屯	0	一级	⿻丿𡳾	4	tún	1525	屮	19049	0
U+6208	戈	0	一级	⿻弋丿	4	gē	1534	戈	68258	0
U+6BD4	比	0	一级	比	4	bǐ	1535	比	1844194	1
U+4E92	互	0	一级	⿱一彑	4	hù	1551	二	215472	1
U+5207	切	0	一级	⿰七刀	4	qiè	1553	刀	900592	1
U+74E6	瓦	0	一级	瓦	4	wǎ	1554	瓦	108370	1
U+6B62	止	0	一级	止	4	zhǐ	2121	止	472691	1
U+5C11	少	0	一级	⿱小丿	4	shǎo	2343	小	1940099	1
U+66F0	曰	0	一级	曰	4	yuē	2511	曰	74013	0
U+65E5	日	0	一级	日	4	rì	2511	日	1944999	1
U+4E2D	中	0	一级	⿻口丨	4	zhōng	2512	丨	7680869	1
U+8D1D	贝	0	一级	贝	4	bèi	2534	贝	211741	1
U+5188	冈	0	一级	⿵冂㐅	4	gāng	2534	冂	28197	0
U+5185	内	0	一级	⿻冂人	4	nèi	2534	入	1509530	1
